,NameEng,NameVn,Nutritions,Water,Energy,Prottein,Fat,Carb,Fiber,Sugars,Calcium,Iron_Fe,Magne_Mg,Potassium_K,Sodium_Na,Zinc_Z,Vitamin_C,Vitamin_B6,Vitamin_B12,Vitamin_A,Vitamin_E,Vitamin_D23,Vitamin_D,Cholesterol,Caffein
10,asparagus,Măng tây,"{""Water"": ""93.22 g"", ""Energy"": ""20.0 kcal"", ""Protein"": ""2.2 g"", ""Total lipid (fat)"": ""0.12 g"", ""Carbohydrate, by difference"": ""3.88 g"", ""Fiber, total dietary"": ""2.1 g"", ""Sugars, total"": ""1.88 g"", ""Calcium, Ca"": ""24.0 mg"", ""Iron, Fe"": ""2.14 mg"", ""Magnesium, Mg"": ""14.0 mg"", ""Phosphorus, P"": ""52.0 mg"", ""Potassium, K"": ""202.0 mg"", ""Sodium, Na"": ""2.0 mg"", ""Zinc, Zn"": ""0.54 mg"", ""Vitamin C, total ascorbic acid"": ""5.6 mg"", ""Thiamin"": ""0.143 mg"", ""Riboflavin"": ""0.141 mg"", ""Niacin"": ""0.978 mg"", ""Vitamin B-6"": ""0.091 mg"", ""Folate, DFE"": ""52.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""38.0 µg"", ""Vitamin A, IU"": ""756.0 IU"", ""Vitamin E (alpha-tocopherol)"": ""1.13 mg"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Vitamin K (phylloquinone)"": ""41.6 µg"", ""Fatty acids, total saturated"": ""0.04 g"", ""Fatty acids, total monounsaturated"": ""0.0 g"", ""Fatty acids, total polyunsaturated"": ""0.05 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg"", ""Caffeine"": ""0.0 mg""}",93.22 g,20.0 kcal,2.2 g,0.12 g,3.88 g,2.1 g,1.88 g,24.0 mg,2.14 mg,14.0 mg,202.0 mg,2.0 mg,0.54 mg,5.6 mg,0.091 mg,0.0 µg,38.0 µg,1.13 mg,0.0 µg,0.0 IU,0.0 mg,0.0 mg
11,leek,Tỏi tây,"{""Water"": ""83.0 g"", ""Energy"": ""61.0 kcal"", ""Protein"": ""1.5 g"", ""Total lipid (fat)"": ""0.3 g"", ""Carbohydrate, by difference"": ""14.15 g"", ""Fiber, total dietary"": ""1.8 g"", ""Sugars, total"": ""3.9 g"", ""Calcium, Ca"": ""59.0 mg"", ""Iron, Fe"": ""2.1 mg"", ""Magnesium, Mg"": ""28.0 mg"", ""Phosphorus, P"": ""35.0 mg"", ""Potassium, K"": ""180.0 mg"", ""Sodium, Na"": ""20.0 mg"", ""Zinc, Zn"": ""0.12 mg"", ""Vitamin C, total ascorbic acid"": ""12.0 mg"", ""Thiamin"": ""0.06 mg"", ""Riboflavin"": ""0.03 mg"", ""Niacin"": ""0.4 mg"", ""Vitamin B-6"": ""0.233 mg"", ""Folate, DFE"": ""64.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""83.0 µg"", ""Vitamin A, IU"": ""1667.0 IU"", ""Vitamin E (alpha-tocopherol)"": ""0.92 mg"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Vitamin K (phylloquinone)"": ""47.0 µg"", ""Fatty acids, total saturated"": ""0.04 g"", ""Fatty acids, total monounsaturated"": ""0.004 g"", ""Fatty acids, total polyunsaturated"": ""0.166 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg"", ""Caffeine"": ""0.0 mg""}",83.0 g,61.0 kcal,1.5 g,0.3 g,14.15 g,1.8 g,3.9 g,59.0 mg,2.1 mg,28.0 mg,180.0 mg,20.0 mg,0.12 mg,12.0 mg,0.233 mg,0.0 µg,83.0 µg,0.92 mg,0.0 µg,0.0 IU,0.0 mg,0.0 mg
12,beans,Đậu,"{""Water"": ""87.85 g"", ""Energy"": ""47.0 kcal"", ""Protein"": ""2.8 g"", ""Total lipid (fat)"": ""0.4 g"", ""Carbohydrate, by difference"": ""8.35 g"", ""Calcium, Ca"": ""50.0 mg"", ""Iron, Fe"": ""0.47 mg"", ""Magnesium, Mg"": ""44.0 mg"", ""Phosphorus, P"": ""59.0 mg"", ""Potassium, K"": ""240.0 mg"", ""Sodium, Na"": ""4.0 mg"", ""Zinc, Zn"": ""0.37 mg"", ""Vitamin C, total ascorbic acid"": ""18.8 mg"", ""Thiamin"": ""0.107 mg"", ""Riboflavin"": ""0.11 mg"", ""Niacin"": ""0.41 mg"", ""Vitamin B-6"": ""0.024 mg"", ""Folate, DFE"": ""62.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""43.0 µg"", ""Vitamin A, IU"": ""865.0 IU"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Fatty acids, total saturated"": ""0.105 g"", ""Fatty acids, total monounsaturated"": ""0.036 g"", ""Fatty acids, total polyunsaturated"": ""0.169 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg""}",87.85 g,47.0 kcal,2.8 g,0.4 g,8.35 g,0,0,50.0 mg,0.47 mg,44.0 mg,240.0 mg,4.0 mg,0.37 mg,18.8 mg,0.024 mg,0.0 µg,43.0 µg,0,0.0 µg,0.0 IU,0.0 mg,0
13,horseradish,Cải ngựa,"{""Energy"": ""321.0 kcal"", ""Protein"": ""17.86 g"", ""Total lipid (fat)"": ""25.0 g"", ""Carbohydrate, by difference"": ""10.71 g"", ""Fiber, total dietary"": ""0.0 g"", ""Sugars, total"": ""3.57 g"", ""Calcium, Ca"": ""536.0 mg"", ""Iron, Fe"": ""0.0 mg"", ""Sodium, Na"": ""571.0 mg"", ""Vitamin C, total ascorbic acid"": ""0.0 mg"", ""Vitamin A, IU"": ""714.0 IU"", ""Fatty acids, total saturated"": ""14.29 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""89.0 mg""}",0,321.0 kcal,17.86 g,25.0 g,10.71 g,0.0 g,3.57 g,536.0 mg,0.0 mg,0,0,571.0 mg,0,0.0 mg,0,0,0,0,0,0,89.0 mg,0
14,corn,Ngô (bắp),"{""Water"": ""73.1 g"", ""Energy"": ""99.0 kcal"", ""Protein"": ""5.03 g"", ""Total lipid (fat)"": ""1.02 g"", ""Carbohydrate, by difference"": ""19.59 g"", ""Fiber, total dietary"": ""3.8 g"", ""Calcium, Ca"": ""18.0 mg"", ""Iron, Fe"": ""1.83 mg"", ""Magnesium, Mg"": ""48.0 mg"", ""Phosphorus, P"": ""113.0 mg"", ""Potassium, K"": ""369.0 mg"", ""Sodium, Na"": ""4.0 mg"", ""Zinc, Zn"": ""0.61 mg"", ""Vitamin C, total ascorbic acid"": ""15.1 mg"", ""Thiamin"": ""0.208 mg"", ""Riboflavin"": ""0.082 mg"", ""Niacin"": ""1.587 mg"", ""Vitamin B-6"": ""0.13 mg"", ""Folate, DFE"": ""40.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""15.0 µg"", ""Vitamin A, IU"": ""292.0 IU"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Fatty acids, total saturated"": ""0.19 g"", ""Fatty acids, total monounsaturated"": ""0.198 g"", ""Fatty acids, total polyunsaturated"": ""0.489 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg""}",73.1 g,99.0 kcal,5.03 g,1.02 g,19.59 g,3.8 g,0,18.0 mg,1.83 mg,48.0 mg,369.0 mg,4.0 mg,0.61 mg,15.1 mg,0.13 mg,0.0 µg,15.0 µg,0,0.0 µg,0.0 IU,0.0 mg,0
15,lettuce,Rau diếp,"{""Water"": ""94.98 g"", ""Energy"": ""15.0 kcal"", ""Protein"": ""1.36 g"", ""Total lipid (fat)"": ""0.15 g"", ""Carbohydrate, by difference"": ""2.87 g"", ""Fiber, total dietary"": ""1.3 g"", ""Sugars, total"": ""0.78 g"", ""Calcium, Ca"": ""36.0 mg"", ""Iron, Fe"": ""0.86 mg"", ""Magnesium, Mg"": ""13.0 mg"", ""Phosphorus, P"": ""29.0 mg"", ""Potassium, K"": ""194.0 mg"", ""Sodium, Na"": ""28.0 mg"", ""Zinc, Zn"": ""0.18 mg"", ""Vitamin C, total ascorbic acid"": ""9.2 mg"", ""Thiamin"": ""0.07 mg"", ""Riboflavin"": ""0.08 mg"", ""Niacin"": ""0.375 mg"", ""Vitamin B-6"": ""0.09 mg"", ""Folate, DFE"": ""38.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""370.0 µg"", ""Vitamin A, IU"": ""7405.0 IU"", ""Vitamin E (alpha-tocopherol)"": ""0.22 mg"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Vitamin K (phylloquinone)"": ""126.3 µg"", ""Fatty acids, total saturated"": ""0.02 g"", ""Fatty acids, total monounsaturated"": ""0.006 g"", ""Fatty acids, total polyunsaturated"": ""0.082 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg"", ""Caffeine"": ""0.0 mg""}",94.98 g,15.0 kcal,1.36 g,0.15 g,2.87 g,1.3 g,0.78 g,36.0 mg,0.86 mg,13.0 mg,194.0 mg,28.0 mg,0.18 mg,9.2 mg,0.09 mg,0.0 µg,370.0 µg,0.22 mg,0.0 µg,0.0 IU,0.0 mg,0.0 mg
16,beetroot,Củ dền,"{""Water"": ""94.98 g"", ""Energy"": ""15.0 kcal"", ""Protein"": ""1.36 g"", ""Total lipid (fat)"": ""0.15 g"", ""Carbohydrate, by difference"": ""2.87 g"", ""Fiber, total dietary"": ""1.3 g"", ""Sugars, total"": ""0.78 g"", ""Calcium, Ca"": ""36.0 mg"", ""Iron, Fe"": ""0.86 mg"", ""Magnesium, Mg"": ""13.0 mg"", ""Phosphorus, P"": ""29.0 mg"", ""Potassium, K"": ""194.0 mg"", ""Sodium, Na"": ""28.0 mg"", ""Zinc, Zn"": ""0.18 mg"", ""Vitamin C, total ascorbic acid"": ""9.2 mg"", ""Thiamin"": ""0.07 mg"", ""Riboflavin"": ""0.08 mg"", ""Niacin"": ""0.375 mg"", ""Vitamin B-6"": ""0.09 mg"", ""Folate, DFE"": ""38.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""370.0 µg"", ""Vitamin A, IU"": ""7405.0 IU"", ""Vitamin E (alpha-tocopherol)"": ""0.22 mg"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Vitamin K (phylloquinone)"": ""126.3 µg"", ""Fatty acids, total saturated"": ""0.02 g"", ""Fatty acids, total monounsaturated"": ""0.006 g"", ""Fatty acids, total polyunsaturated"": ""0.082 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg"", ""Caffeine"": ""0.0 mg""}",94.98 g,15.0 kcal,1.36 g,0.15 g,2.87 g,1.3 g,0.78 g,36.0 mg,0.86 mg,13.0 mg,194.0 mg,28.0 mg,0.18 mg,9.2 mg,0.09 mg,0.0 µg,370.0 µg,0.22 mg,0.0 µg,0.0 IU,0.0 mg,0.0 mg
17,squash,Bí,"{""Water"": ""93.35 g"", ""Energy"": ""26.0 kcal"", ""Protein"": ""0.52 g"", ""Total lipid (fat)"": ""0.2 g"", ""Carbohydrate, by difference"": ""5.64 g"", ""Sugars, total"": ""3.54 g"", ""Calcium, Ca"": ""9.0 mg"", ""Iron, Fe"": ""0.17 mg"", ""Magnesium, Mg"": ""10.0 mg"", ""Phosphorus, P"": ""12.0 mg"", ""Potassium, K"": ""205.0 mg"", ""Sodium, Na"": ""20.0 mg"", ""Zinc, Zn"": ""0.07 mg"", ""Vitamin C, total ascorbic acid"": ""4.5 mg"", ""Thiamin"": ""0.02 mg"", ""Riboflavin"": ""0.02 mg"", ""Niacin"": ""0.17 mg"", ""Vitamin B-6"": ""0.058 mg"", ""Vitamin E (alpha-tocopherol)"": ""0.0 mg""}",93.35 g,26.0 kcal,0.52 g,0.2 g,5.64 g,0,3.54 g,9.0 mg,0.17 mg,10.0 mg,205.0 mg,20.0 mg,0.07 mg,4.5 mg,0.058 mg,0,0,0.0 mg,0,0,0,0
18,cucumber,Dưa chuột (dưa leo),"{""Water"": ""96.73 g"", ""Energy"": ""10.0 kcal"", ""Protein"": ""0.59 g"", ""Total lipid (fat)"": ""0.16 g"", ""Carbohydrate, by difference"": ""2.16 g"", ""Fiber, total dietary"": ""0.7 g"", ""Sugars, total"": ""1.38 g"", ""Calcium, Ca"": ""14.0 mg"", ""Iron, Fe"": ""0.22 mg"", ""Magnesium, Mg"": ""12.0 mg"", ""Phosphorus, P"": ""21.0 mg"", ""Potassium, K"": ""136.0 mg"", ""Sodium, Na"": ""2.0 mg"", ""Zinc, Zn"": ""0.17 mg"", ""Vitamin C, total ascorbic acid"": ""3.2 mg"", ""Thiamin"": ""0.031 mg"", ""Riboflavin"": ""0.025 mg"", ""Niacin"": ""0.037 mg"", ""Vitamin B-6"": ""0.051 mg"", ""Folate, DFE"": ""14.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""4.0 µg"", ""Vitamin A, IU"": ""72.0 IU"", ""Vitamin E (alpha-tocopherol)"": ""0.03 mg"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Vitamin K (phylloquinone)"": ""7.2 µg"", ""Fatty acids, total saturated"": ""0.078 g"", ""Fatty acids, total monounsaturated"": ""0.01 g"", ""Fatty acids, total polyunsaturated"": ""0.019 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg"", ""Caffeine"": ""0.0 mg""}",96.73 g,10.0 kcal,0.59 g,0.16 g,2.16 g,0.7 g,1.38 g,14.0 mg,0.22 mg,12.0 mg,136.0 mg,2.0 mg,0.17 mg,3.2 mg,0.051 mg,0.0 µg,4.0 µg,0.03 mg,0.0 µg,0.0 IU,0.0 mg,0.0 mg
19,potato,Khoai tây,"{""Water"": ""83.29 g"", ""Energy"": ""58.0 kcal"", ""Protein"": ""2.57 g"", ""Total lipid (fat)"": ""0.1 g"", ""Carbohydrate, by difference"": ""12.44 g"", ""Fiber, total dietary"": ""2.5 g"", ""Calcium, Ca"": ""30.0 mg"", ""Iron, Fe"": ""3.24 mg"", ""Magnesium, Mg"": ""23.0 mg"", ""Phosphorus, P"": ""38.0 mg"", ""Potassium, K"": ""413.0 mg"", ""Sodium, Na"": ""10.0 mg"", ""Zinc, Zn"": ""0.35 mg"", ""Vitamin C, total ascorbic acid"": ""11.4 mg"", ""Thiamin"": ""0.021 mg"", ""Riboflavin"": ""0.038 mg"", ""Niacin"": ""1.033 mg"", ""Vitamin B-6"": ""0.239 mg"", ""Folate, DFE"": ""17.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""0.0 µg"", ""Vitamin A, IU"": ""0.0 IU"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Fatty acids, total saturated"": ""0.026 g"", ""Fatty acids, total monounsaturated"": ""0.002 g"", ""Fatty acids, total polyunsaturated"": ""0.043 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg""}",83.29 g,58.0 kcal,2.57 g,0.1 g,12.44 g,2.5 g,0,30.0 mg,3.24 mg,23.0 mg,413.0 mg,10.0 mg,0.35 mg,11.4 mg,0.239 mg,0.0 µg,0.0 µg,0,0.0 µg,0.0 IU,0.0 mg,0
20,garlic,Tỏi,"{""Water"": ""58.58 g"", ""Energy"": ""149.0 kcal"", ""Protein"": ""6.36 g"", ""Total lipid (fat)"": ""0.5 g"", ""Carbohydrate, by difference"": ""33.06 g"", ""Fiber, total dietary"": ""2.1 g"", ""Sugars, total"": ""1.0 g"", ""Calcium, Ca"": ""181.0 mg"", ""Iron, Fe"": ""1.7 mg"", ""Magnesium, Mg"": ""25.0 mg"", ""Phosphorus, P"": ""153.0 mg"", ""Potassium, K"": ""401.0 mg"", ""Sodium, Na"": ""17.0 mg"", ""Zinc, Zn"": ""1.16 mg"", ""Vitamin C, total ascorbic acid"": ""31.2 mg"", ""Thiamin"": ""0.2 mg"", ""Riboflavin"": ""0.11 mg"", ""Niacin"": ""0.7 mg"", ""Vitamin B-6"": ""1.235 mg"", ""Folate, DFE"": ""3.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""0.0 µg"", ""Vitamin A, IU"": ""9.0 IU"", ""Vitamin E (alpha-tocopherol)"": ""0.08 mg"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Vitamin K (phylloquinone)"": ""1.7 µg"", ""Fatty acids, total saturated"": ""0.089 g"", ""Fatty acids, total monounsaturated"": ""0.011 g"", ""Fatty acids, total polyunsaturated"": ""0.249 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg"", ""Caffeine"": ""0.0 mg""}",58.58 g,149.0 kcal,6.36 g,0.5 g,33.06 g,2.1 g,1.0 g,181.0 mg,1.7 mg,25.0 mg,401.0 mg,17.0 mg,1.16 mg,31.2 mg,1.235 mg,0.0 µg,0.0 µg,0.08 mg,0.0 µg,0.0 IU,0.0 mg,0.0 mg
21,onion,Hành tây,"{""Water"": ""89.11 g"", ""Energy"": ""40.0 kcal"", ""Protein"": ""1.1 g"", ""Total lipid (fat)"": ""0.1 g"", ""Carbohydrate, by difference"": ""9.34 g"", ""Fiber, total dietary"": ""1.7 g"", ""Sugars, total"": ""4.24 g"", ""Calcium, Ca"": ""23.0 mg"", ""Iron, Fe"": ""0.21 mg"", ""Magnesium, Mg"": ""10.0 mg"", ""Phosphorus, P"": ""29.0 mg"", ""Potassium, K"": ""146.0 mg"", ""Sodium, Na"": ""4.0 mg"", ""Zinc, Zn"": ""0.17 mg"", ""Vitamin C, total ascorbic acid"": ""7.4 mg"", ""Thiamin"": ""0.046 mg"", ""Riboflavin"": ""0.027 mg"", ""Niacin"": ""0.116 mg"", ""Vitamin B-6"": ""0.12 mg"", ""Folate, DFE"": ""19.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""0.0 µg"", ""Vitamin A, IU"": ""2.0 IU"", ""Vitamin E (alpha-tocopherol)"": ""0.02 mg"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Vitamin K (phylloquinone)"": ""0.4 µg"", ""Fatty acids, total saturated"": ""0.042 g"", ""Fatty acids, total monounsaturated"": ""0.013 g"", ""Fatty acids, total polyunsaturated"": ""0.017 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg"", ""Caffeine"": ""0.0 mg""}",89.11 g,40.0 kcal,1.1 g,0.1 g,9.34 g,1.7 g,4.24 g,23.0 mg,0.21 mg,10.0 mg,146.0 mg,4.0 mg,0.17 mg,7.4 mg,0.12 mg,0.0 µg,0.0 µg,0.02 mg,0.0 µg,0.0 IU,0.0 mg,0.0 mg
22,green onion,Hành lá,"{""Energy"": ""278.0 kcal"", ""Protein"": ""0.0 g"", ""Total lipid (fat)"": ""0.0 g"", ""Carbohydrate, by difference"": ""55.56 g"", ""Sugars, total"": ""0.0 g"", ""Sodium, Na"": ""5833.0 mg""}",0,278.0 kcal,0.0 g,0.0 g,55.56 g,0,0.0 g,0,0,0,0,5833.0 mg,0,0,0,0,0,0,0,0,0,0
23,marrow,Bí xanh,"{""Water"": ""7.4 g"", ""Energy"": ""786.0 kcal"", ""Protein"": ""6.7 g"", ""Total lipid (fat)"": ""84.4 g"", ""Carbohydrate, by difference"": ""0.0 g"", ""Iron, Fe"": ""4.5 mg"", ""Phosphorus, P"": ""107.0 mg"", ""Thiamin"": ""0.04 mg"", ""Niacin"": ""0.2 mg"", ""Vitamin A, IU"": ""240.0 IU""}",7.4 g,786.0 kcal,6.7 g,84.4 g,0.0 g,0,0,0,4.5 mg,0,0,0,0,0,0,0,0,0,0,0,0,0
24,radish,Củ cải,"{""Water"": ""95.27 g"", ""Energy"": ""16.0 kcal"", ""Protein"": ""0.68 g"", ""Total lipid (fat)"": ""0.1 g"", ""Carbohydrate, by difference"": ""3.4 g"", ""Fiber, total dietary"": ""1.6 g"", ""Sugars, total"": ""1.86 g"", ""Calcium, Ca"": ""25.0 mg"", ""Iron, Fe"": ""0.34 mg"", ""Magnesium, Mg"": ""10.0 mg"", ""Phosphorus, P"": ""20.0 mg"", ""Potassium, K"": ""233.0 mg"", ""Sodium, Na"": ""39.0 mg"", ""Zinc, Zn"": ""0.28 mg"", ""Vitamin C, total ascorbic acid"": ""14.8 mg"", ""Thiamin"": ""0.012 mg"", ""Riboflavin"": ""0.039 mg"", ""Niacin"": ""0.254 mg"", ""Vitamin B-6"": ""0.071 mg"", ""Folate, DFE"": ""25.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""0.0 µg"", ""Vitamin A, IU"": ""7.0 IU"", ""Vitamin E (alpha-tocopherol)"": ""0.0 mg"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Vitamin K (phylloquinone)"": ""1.3 µg"", ""Fatty acids, total saturated"": ""0.032 g"", ""Fatty acids, total monounsaturated"": ""0.017 g"", ""Fatty acids, total polyunsaturated"": ""0.048 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg"", ""Caffeine"": ""0.0 mg""}",95.27 g,16.0 kcal,0.68 g,0.1 g,3.4 g,1.6 g,1.86 g,25.0 mg,0.34 mg,10.0 mg,233.0 mg,39.0 mg,0.28 mg,14.8 mg,0.071 mg,0.0 µg,0.0 µg,0.0 mg,0.0 µg,0.0 IU,0.0 mg,0.0 mg
25,bell pepper,Ớt chuông,"{""Energy"": ""214.0 kcal"", ""Protein"": ""10.71 g"", ""Total lipid (fat)"": ""5.36 g"", ""Carbohydrate, by difference"": ""35.71 g"", ""Fiber, total dietary"": ""14.3 g"", ""Sugars, total"": ""3.57 g"", ""Calcium, Ca"": ""143.0 mg"", ""Iron, Fe"": ""2.57 mg"", ""Sodium, Na"": ""357.0 mg"", ""Vitamin C, total ascorbic acid"": ""75.0 mg"", ""Vitamin A, IU"": ""7143.0 IU"", ""Fatty acids, total saturated"": ""1.79 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg""}",0,214.0 kcal,10.71 g,5.36 g,35.71 g,14.3 g,3.57 g,143.0 mg,2.57 mg,0,0,357.0 mg,0,75.0 mg,0,0,0,0,0,0,0.0 mg,0
26,hot pepper,Ớt cay,"{""Water"": ""87.74 g"", ""Energy"": ""40.0 kcal"", ""Protein"": ""2.0 g"", ""Total lipid (fat)"": ""0.2 g"", ""Carbohydrate, by difference"": ""9.46 g"", ""Fiber, total dietary"": ""1.5 g"", ""Sugars, total"": ""5.1 g"", ""Calcium, Ca"": ""18.0 mg"", ""Iron, Fe"": ""1.2 mg"", ""Magnesium, Mg"": ""25.0 mg"", ""Phosphorus, P"": ""46.0 mg"", ""Potassium, K"": ""340.0 mg"", ""Sodium, Na"": ""7.0 mg"", ""Zinc, Zn"": ""0.3 mg"", ""Vitamin C, total ascorbic acid"": ""242.5 mg"", ""Thiamin"": ""0.09 mg"", ""Riboflavin"": ""0.09 mg"", ""Niacin"": ""0.95 mg"", ""Vitamin B-6"": ""0.278 mg"", ""Folate, DFE"": ""23.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""59.0 µg"", ""Vitamin A, IU"": ""1179.0 IU"", ""Vitamin E (alpha-tocopherol)"": ""0.69 mg"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Vitamin K (phylloquinone)"": ""14.3 µg"", ""Fatty acids, total saturated"": ""0.021 g"", ""Fatty acids, total monounsaturated"": ""0.011 g"", ""Fatty acids, total polyunsaturated"": ""0.109 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg"", ""Caffeine"": ""0.0 mg""}",87.74 g,40.0 kcal,2.0 g,0.2 g,9.46 g,1.5 g,5.1 g,18.0 mg,1.2 mg,25.0 mg,340.0 mg,7.0 mg,0.3 mg,242.5 mg,0.278 mg,0.0 µg,59.0 µg,0.69 mg,0.0 µg,0.0 IU,0.0 mg,0.0 mg
27,carrot,Cà rốt,"{""Water"": ""88.29 g"", ""Energy"": ""41.0 kcal"", ""Protein"": ""0.93 g"", ""Total lipid (fat)"": ""0.24 g"", ""Carbohydrate, by difference"": ""9.58 g"", ""Fiber, total dietary"": ""2.8 g"", ""Sugars, total"": ""4.74 g"", ""Calcium, Ca"": ""33.0 mg"", ""Iron, Fe"": ""0.3 mg"", ""Magnesium, Mg"": ""12.0 mg"", ""Phosphorus, P"": ""35.0 mg"", ""Potassium, K"": ""320.0 mg"", ""Sodium, Na"": ""69.0 mg"", ""Zinc, Zn"": ""0.24 mg"", ""Vitamin C, total ascorbic acid"": ""5.9 mg"", ""Thiamin"": ""0.066 mg"", ""Riboflavin"": ""0.058 mg"", ""Niacin"": ""0.983 mg"", ""Vitamin B-6"": ""0.138 mg"", ""Folate, DFE"": ""19.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""835.0 µg"", ""Vitamin A, IU"": ""16706.0 IU"", ""Vitamin E (alpha-tocopherol)"": ""0.66 mg"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Vitamin K (phylloquinone)"": ""13.2 µg"", ""Fatty acids, total saturated"": ""0.032 g"", ""Fatty acids, total monounsaturated"": ""0.012 g"", ""Fatty acids, total polyunsaturated"": ""0.102 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg"", ""Caffeine"": ""0.0 mg""}",88.29 g,41.0 kcal,0.93 g,0.24 g,9.58 g,2.8 g,4.74 g,33.0 mg,0.3 mg,12.0 mg,320.0 mg,69.0 mg,0.24 mg,5.9 mg,0.138 mg,0.0 µg,835.0 µg,0.66 mg,0.0 µg,0.0 IU,0.0 mg,0.0 mg
